name;latitude;longitude
Vacherie Fire Dep,2433 Highway 18, Vacherie, 7009, LA;30.006515;-90.709746
Vacherie Gheens Volunteer Fir,N Leon Dr, Lockport, 7037, LA;29.64605;-90.53925
Village East Fire C,Industrial Park & Indstrl Rd, Houma, 7036, LA;29.595275;-90.668461
Ville Platte Fire Dep,310 W Magnolia St, Ville Platte, 7058, LA;30.68797;-92.27152
Vinton Fire Volunteer,1201 Horridge St, Vinton, 7066, LA;30.196358;-93.581361
Ward 2 Fire Protection Dist ,Galley Rd, Hayes, 7064, LA;30.219807;-93.331752
Ward 2 Fire Protection Dis,9890 Highway 34, Eros, 7123, LA;32.416219;-92.36962
Ward 4 Fire Dep,261 Highway 505, Jonesboro, 7125, LA;32.24033;-92.60843
Ward 5 Fire Protection Dis,Courthouse, Turkey Creek, 7058, LA;30.001372;-92.282986
Ward 8 Fire Protection Dis,4444 Main St, Collinston, 7122, LA;32.627732;-91.878502
Washington Parish Fire Dis,30247 Highway 430, Franklinton, 7043, LA;30.869258;-90.156472
Washington Parish Fire Protec,43139 C E Stafford Rd, Franklinton, 7043, LA;30.844287;-90.155793
Welsh Fire Dep,201 W South St, Welsh, 7059, LA;30.238843;-92.823621
Westwego City Fire Chief',677 Avenue H, Westwego, 7009, LA;29.936422;-90.166617
Westwego Fire Dep,677 Avenue H, Westwego, 7009, LA;29.936422;-90.166617
Wilmer Fire Dep,22115 Highway 10, Kentwood, 7044, LA;30.796467;-90.443893
Wkb Volunteer Fire Dep,4040 Highway 90 W, Avondale, 7009, LA;29.929516;-90.165183
Woodlawn Fire Dep,7163 Highway 39 #202, Braithwaite, 7004, ;29.859438;-89.916358
