;name;latitude;longitude;y;x
192;Oak Park Fire Statio,52 Oak Park Dr, Madisonville, 7044, LA;30.433406;-90.208954;3387846.7559200004;-8658407.176246114
193;Oakdale Fire Dep,115 N 10th St, Oakdale, 7146, LA;30.807665;-92.645739;3429509.2678;-8857980.675177606
194;Olla Fire Dep,US Highway 165, Olla, 7146, LA;31.901027;-92.229599;3551222.32564;-8716250.684331374
195;Opelousas Fire Chie,1357 S Union St, Opelousas, 7057, LA;30.485177;-92.101952;3393609.90364;-8835404.089719081
196;Paincourtville Volenteer Fir,6074 Highway 1, Paincourtville, 7039, LA;29.992459;-91.055045;3338760.53588;-8778871.083077297
197;Parks Fire Dept-Offic,Bridge, St Martinville, 7058, LA;30.1252;-91.83345;3353537.264;-8842056.249357466
198;Patterson City Fire Meeting R,1306 Main St, Patterson, 7039, LA;29.680508;-91.294553;3304034.15056;-8829492.023442775
199;Patterson Fire Dep,1308 Main St, Patterson, 7039, LA;29.680508;-91.294553;3304034.15056;-8829492.023442775
200;Pearl River Fire Dep,37546 Pine Street Ext, Pearl River, 7045, LA;30.37535;-89.767961;3381383.9620000003;-8621204.44273664
201;Pecan Island Fire Dep,25600 W La Highway 82, Kaplan, 7054, LA;29.937614;-92.309;3332655.19048;-8904681.310114427
202;Pierre Part Volunteer Fir,101 S Bay Rd, Pierre Part, 7033, LA;29.9652;-91.20316;3335726.064;-8795564.835072804
203;Pine Prairie Area Fire Dep,Edwin Elliott Dr, Pine Prairie, 7057, LA;30.776586;-92.422522;3426049.55352;-8839495.533724705
204;Pine Prairie Fire Dep,Highway 13, Pine Prairie, 7057, LA;30.783011;-92.428046;3426764.7845199998;-8839433.422896361
205;Pine Ridge Fire Dep,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407;3441121.27964;-8909347.106738923
206;Pineville Fire Chie,35 Purser St, Pineville, 7136, LA;31.331576;-92.419966;3487831.0403199997;-8787844.516959172
207;Pineville Fire Dep,35 Purser St, Pineville, 7136, LA;31.331576;-92.419966;3487831.0403199997;-8787844.516959172
208;Pitkin Volunteer Fire Dep,12778 Highway 10, Pitkin, 7065, LA;30.939647;-92.831616;3444201.50404;-8863537.423293602
209;Plain Dealing Fire Dep,205 W Palmetto Ave, Plain Dealing, 7106, LA;32.919215;-93.689292;3664567.0138000003;-8754864.60910254
210;Plainview Community Voluntee,172 Highway 112, Elizabeth, 7063, LA;30.899684;-92.789679;3439752.82288;-8863235.239086311
211;Plainview Fire Dep,10941 Highway 112, Elizabeth, 7063, LA;30.899684;-92.789679;3439752.82288;-8863235.239086311
212;Plainview Volunteer Fire Dep,10016 Highway 112, Glenmora, 7143, LA;31.105138;-92.636457;3462623.96216;-8829553.063241564
213;Plaquemine Fire Dep,58165 Meriam St, Plaquemine, 7076, LA;30.290675;-91.233758;3371957.941;-8769557.830764396
214;Pointe Aux Chenes Fire Dep,1105 Highway 55, Montegut, 7037, LA;29.501096;-90.547575;3284062.00672;-8772834.361225829
